fieldName,fieldExclusions
GmailSecondaryClicks,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
HourOfDay,AllConversionRate;AllConversionValue;AllConversions;AverageFrequency;AveragePageviews;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;CostPerAllConversion;CrossDeviceConversions;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;InvalidClickRate;InvalidClicks;PercentNewVisitors;RelativeCtr;Slot;ValuePerAllConversion
ImpressionAssistedConversions,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
ImpressionAssistedConversionsOverLastClickConversions,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
ImpressionAssistedConversionValue,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
ImpressionReach,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;DayOfWeek;Device;ExternalConversionSource;HourOfDay;Quarter;Slot;Year
Impressions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
InteractionRate,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
Interactions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
InteractionTypes,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
InvalidClickRate,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;HourOfDay;Slot
InvalidClicks,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;HourOfDay;Slot
IsBudgetExplicitlyShared,
LabelIds,
Labels,
Month,
MonthOfYear,
NumOfflineImpressions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;Slot
NumOfflineInteractions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;Slot
OfflineInteractionRate,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;Slot
PercentNewVisitors,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
Quarter,AverageFrequency;ImpressionReach
RelativeCtr,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
SearchBudgetLostImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
SearchExactMatchImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
SearchImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
SearchRankLostImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
ServingStatus,
Slot,AllConversionRate;AllConversionValue;AllConversions;AverageFrequency;AveragePageviews;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;ContentBudgetLostImpressionShare;ContentImpressionShare;ContentRankLostImpressionShare;CostPerAllConversion;CrossDeviceConversions;HourOfDay;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;InvalidClickRate;InvalidClicks;NumOfflineImpressions;NumOfflineInteractions;OfflineInteractionRate;PercentNewVisitors;RelativeCtr;SearchBudgetLostImpressionShare;SearchExactMatchImpressionShare;SearchImpressionShare;SearchRankLostImpressionShare;ValuePerAllConversion
StartDate,
TrackingUrlTemplate,
ValuePerAllConversion,HourOfDay;Slot
ValuePerConversion,
ValuePerCurrentModelAttributedConversion,
VideoQuartile100Rate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
VideoQuartile25Rate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
VideoQuartile50Rate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
VideoQuartile75Rate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
VideoViewRate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
VideoViews,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ViewThroughConversions,ClickType
Week,
Year,AverageFrequency;ImpressionReach
